結構類型,站間里程,連續里程,備註,座標N值,座標E值,高程_m
高架路段,2+770.0,66+970.181,,2771380.903,299519.098,22.068
高架路段,2+780.0,66+980.181,,2771373.947,299511.913,22.101
高架路段,2+790.0,66+990.181,,2771366.991,299504.729,22.135
高架路段,2+800.0,67+000.181,,2771360.035,299497.545,22.168
高架路段,2+810.0,67+010.181,,2771353.079,299490.360,22.201
高架路段,2+820.0,67+020.181,,2771346.123,299483.176,22.235
高架路段,2+830.0,67+030.181,,2771339.167,299475.992,22.268
高架路段,2+840.0,67+040.181,,2771332.211,299468.807,22.302
高架路段,2+850.0,67+050.181,,2771325.255,299461.623,22.335
高架路段,2+860.0,67+060.181,,2771318.299,299454.439,22.369
高架路段,2+870.0,67+070.181,,2771311.343,299447.254,22.402
高架路段,2+880.0,67+080.181,,2771304.387,299440.070,22.435
高架路段,2+890.0,67+090.181,,2771297.441,299432.876,22.469
高架路段,2+900.0,67+100.181,,2771290.520,299425.659,22.502
高架路段,2+910.0,67+110.181,,2771283.622,299418.418,22.536
高架路段,2+920.0,67+120.181,,2771276.748,299411.155,22.569
高架路段,2+930.0,67+130.181,,2771269.899,299403.869,22.603
高架路段,2+940.0,67+140.181,,2771263.074,299396.560,22.636
高架路段,2+950.0,67+150.181,,2771256.274,299389.228,22.669
高架路段,2+960.0,67+160.181,,2771249.496,299381.876,22.703
高架路段,2+970.0,67+170.181,,2771242.723,299374.519,22.736
高架路段,2+980.0,67+180.181,,2771235.950,299367.161,22.770
高架路段,2+990.0,67+190.181,,2771229.177,299359.804,22.803
高架路段,3+000.0,67+200.181,,2771222.404,299352.447,22.837
高架路段,3+010.0,67+210.181,,2771215.632,299345.090,22.870
高架路段,3+020.0,67+220.181,,2771208.859,299337.733,22.903
高架路段,3+030.0,67+230.181,,2771202.086,299330.375,22.937
高架路段,3+040.0,67+240.181,,2771195.313,299323.018,22.970
高架路段,3+050.0,67+250.181,,2771188.546,299315.656,23.004
高架路段,3+060.0,67+260.181,,2771181.840,299308.238,23.037
高架路段,3+070.0,67+270.181,,2771175.276,299300.694,23.071
高架路段,3+080.0,67+280.181,,2771168.939,299292.959,23.104
高架路段,3+090.0,67+290.181,,2771162.922,299284.973,23.138
高架路段,3+100.0,67+300.181,,2771157.323,299276.689,23.171
高架路段,3+110.0,67+310.181,,2771152.231,299268.084,23.204
高架路段,3+120.0,67+320.181,,2771147.678,299259.182,23.238
高架路段,3+130.0,67+330.181,,2771143.681,299250.018,23.271
高架路段,3+140.0,67+340.181,,2771140.255,299240.625,23.305
高架路段,3+150.0,67+350.181,,2771137.413,299231.038,23.338
高架路段,3+160.0,67+360.181,,2771135.167,299221.296,23.372
高架路段,3+170.0,67+370.181,,2771133.524,299211.433,23.405
高架路段,3+180.0,67+380.181,,2771132.490,299201.488,23.438
高架路段,3+190.0,67+390.181,,2771132.070,299191.499,23.472
高架路段,3+200.0,67+400.181,,2771132.265,299181.502,23.505
高架路段,3+210.0,67+410.181,,2771133.075,299171.537,23.539
高架路段,3+220.0,67+420.181,,2771134.495,299161.640,23.572
高架路段,3+230.0,67+430.181,,2771136.522,299151.849,23.606
高架路段,3+240.0,67+440.181,,2771139.147,299142.201,23.639
高架路段,3+250.0,67+450.181,,2771142.361,299132.733,23.672
高架路段,3+260.0,67+460.181,,2771146.151,299123.481,23.706
高架路段,3+270.0,67+470.181,,2771150.502,299114.479,23.739
高架路段,3+280.0,67+480.181,,2771155.399,299105.762,23.773
高架路段,3+290.0,67+490.181,,2771160.823,299097.362,23.806
高架路段,3+300.0,67+500.181,,2771166.753,299089.312,23.840
高架路段,3+310.0,67+510.181,,2771173.167,299081.642,23.873
高架路段,3+320.0,67+520.181,,2771180.040,299074.381,23.906
高架路段,3+330.0,67+530.181,,2771187.347,299067.556,23.940
高架路段,3+340.0,67+540.181,,2771195.060,299061.194,23.973
高架路段,3+350.0,67+550.181,,2771203.149,299055.318,24.007
高架路段,3+360.0,67+560.181,,2771211.563,299049.915,24.040
高架路段,3+370.0,67+570.181,,2771220.222,299044.914,24.074
高架路段,3+380.0,67+580.181,,2771229.058,299040.232,24.107
高架路段,3+390.0,67+590.181,,2771238.010,299035.777,24.140
高架路段,3+400.0,67+600.181,,2771247.028,299031.454,24.174
高架路段,3+410.0,67+610.181,,2771256.064,299027.172,24.207
高架路段,3+420.0,67+620.181,,2771265.101,299022.890,24.241
高架路段,3+430.0,67+630.181,,2771274.138,299018.609,24.274
高架路段,3+440.0,67+640.181,,2771283.175,299014.327,24.308
高架路段,3+450.0,67+650.181,,2771292.213,299010.046,24.341
高架路段,3+460.0,67+660.181,,2771301.250,299005.764,24.375
高架路段,3+470.0,67+670.181,,2771310.287,299001.482,24.408
高架路段,3+480.0,67+680.181,,2771319.324,298997.201,24.441
高架路段,3+490.0,67+690.181,,2771328.361,298992.919,24.475
高架路段,3+500.0,67+700.181,,2771337.398,298988.638,24.508
高架路段,3+510.0,67+710.181,,2771346.435,298984.356,24.542
高架路段,3+520.0,67+720.181,,2771355.472,298980.075,24.575
高架路段,3+530.0,67+730.181,,2771364.509,298975.793,24.609
高架路段,3+540.0,67+740.181,,2771373.546,298971.511,24.642
高架路段,3+550.0,67+750.181,,2771382.583,298967.230,24.675
高架路段,3+560.0,67+760.181,,2771391.620,298962.948,24.709
高架路段,3+570.0,67+770.181,,2771400.657,298958.667,24.742
高架路段,3+580.0,67+780.181,,2771409.694,298954.385,24.776
高架路段,3+590.0,67+790.181,,2771418.731,298950.103,24.809
高架路段,3+600.0,67+800.181,,2771427.768,298945.822,24.843
高架路段,3+610.0,67+810.181,,2771436.805,298941.540,24.876
高架路段,3+620.0,67+820.181,,2771445.842,298937.259,24.909
高架路段,3+630.0,67+830.181,,2771454.879,298932.977,24.943
高架路段,3+640.0,67+840.181,,2771463.916,298928.695,24.976
高架路段,3+650.0,67+850.181,,2771472.953,298924.414,25.010
高架路段,3+660.0,67+860.181,,2771481.990,298920.132,25.043
高架路段,3+670.0,67+870.181,,2771491.027,298915.851,25.077
高架路段,3+680.0,67+880.181,,2771500.064,298911.569,25.110
高架路段,3+690.0,67+890.181,,2771509.101,298907.287,25.143
高架路段,3+700.0,67+900.181,,2771518.138,298903.006,25.177
高架路段,3+710.0,67+910.181,,2771527.175,298898.724,25.210
高架路段,3+720.0,67+920.181,,2771536.212,298894.443,25.240
高架路段,3+730.0,67+930.181,,2771545.249,298890.161,25.253
高架路段,3+740.0,67+940.181,,2771554.286,298885.879,25.250
高架路段,3+750.0,67+950.181,,2771563.323,298881.598,25.231
高架路段,3+760.0,67+960.181,,2771572.360,298877.316,25.195
高架路段,3+770.0,67+970.181,,2771581.398,298873.035,25.143
高架路段,3+780.0,67+980.181,,2771590.435,298868.753,25.079
高架路段,3+790.0,67+990.181,,2771599.472,298864.471,25.015
高架路段,3+800.0,68+000.181,,2771608.509,298860.190,24.950
高架路段,3+810.0,68+010.181,,2771617.546,298855.908,24.885
高架路段,3+820.0,68+020.181,,2771626.583,298851.627,24.821
高架路段,3+830.0,68+030.181,,2771635.620,298847.345,24.756
高架路段,3+840.0,68+040.181,,2771644.657,298843.063,24.691
高架路段,3+850.0,68+050.181,,2771653.694,298838.782,24.626
高架路段,3+860.0,68+060.181,,2771662.731,298834.500,24.562
高架路段,3+870.0,68+070.181,,2771671.768,298830.219,24.497
高架路段,3+880.0,68+080.181,,2771680.805,298825.937,24.432
高架路段,3+890.0,68+090.181,,2771689.841,298821.653,24.368
高架路段,3+900.0,68+100.181,,2771698.865,298817.344,24.303
高架路段,3+910.0,68+110.181,,2771707.862,298812.980,24.238
高架路段,3+920.0,68+120.181,,2771716.824,298808.544,24.177
高架路段,3+930.0,68+130.181,,2771725.749,298804.033,24.122
高架路段,3+940.0,68+140.181,,2771734.636,298799.448,24.072
高架路段,3+950.0,68+150.181,,2771743.490,298794.801,24.023
高架路段,3+960.0,68+160.181,,2771752.327,298790.119,23.974
高架路段,3+970.0,68+170.181,,2771761.160,298785.431,23.924
高架路段,3+980.0,68+180.181,,2771769.993,298780.742,23.875
高架路段,3+990.0,68+190.181,,2771778.826,298776.055,23.826
高架路段,4+000.0,68+200.181,,2771787.669,298771.386,23.776
